X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
23.534972,37.744473,0,ΑΓ.ΜΑΡΙΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.074709,37.766157,0,ΑΓ.ΜΑΡΙΝΑ ΛΑΥΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.928857,35.519556,0,ΑΓ.ΜΑΡΙΝΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.361518,39.547726,0,ΑΓ.ΝΙΚΟΛΑΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.802229,38.868739,0,ΑΓ.ΝΙΚΟΛΑΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.280632,36.824975,0,ΑΓ.ΝΙΚΟΛΑΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.102861,36.477049,0,ΑΓ.ΝΙΚΟΛΑΟΣ Β,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.438331,36.830768,0,ΑΓ.ΝΙΚΟΛΑΟΣ ΓΥΘ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.74405,40.724259,0,ΑΓ.ΠΑΝΤΕΛΕΗΜΟΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.267839,40.325903,0,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.293622,38.365266,0,ΑΓ.ΠΑΝΤΕΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.61858,39.657203,0,ΑΓ.ΠΑΡΑΣΚΕΥΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.269038,39.246067,0,ΑΓ.ΠΑΡΑΣΚΕΥΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.547096,37.327379,0,ΑΓ.ΠΕΤΡΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.696329,40.367747,0,ΑΓ.ΠΡΟΔΡΟΜΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.318015,39.689137,0,ΑΓ.ΣΟΦΙΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.207947,38.714957,0,ΑΓ.ΣΤΕΦΑΝΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.420953,38.112424,0,ΑΓ.ΣΩΤΗΡΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.910446,38.355968,0,ΑΓ.ΤΡΙΑΔΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.819754,38.987892,0,ΑΓ.ΤΡΙΑΔΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.877925,40.49926,0,ΑΓ.ΤΡΙΑΔΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.807353,37.637948,0,ΑΓ.ΤΡΙΑΔΑΣ ΑΡΓ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.971918,37.458102,0,ΑΓΑΘΟΝΗΣΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
